Designator,Mid X,Mid Y,Rotation,Layer
D1,46.979944,-95.511183,188.0,top
D10,101.922991,-80.438813,180.0,top
D11,101.922991,-63.438813,180.0,top
D12,101.922991,-46.438813,180.0,top
D13,119.922991,-82.138813,180.0,top
D14,119.922991,-65.138813,180.0,top
D15,119.922991,-57.538813,0.0,top
D16,114.619137,-101.760216,170.0,top
D17,135.174552,-108.241314,155.0,top
D2,44.614001,-78.676626,188.0,top
D3,42.248058,-61.842068,188.0,top
D4,64.749588,-81.736937,184.0,top
D5,63.563728,-64.778348,184.0,top
D6,62.377867,-47.819759,184.0,top
D7,83.922991,-76.188813,180.0,top
D8,83.922991,-59.188813,180.0,top
D9,83.922991,-42.188813,180.0,top
H1,134.150745,-98.605868,335.0,top
H2,144.120131,-103.254669,335.0,top
JST1,132.422991,-92.838813,90.0,top
PWR1,146.522991,-95.838813,0.0,top
SW1,139.422991,-93.838813,0.0,top
