Designator,Mid X,Mid Y,Rotation,Layer
BAT1,137.922991,-63.338813,0.0,top
D1,46.979944,-95.511183,188.0,top
D10,101.922991,-80.438813,180.0,top
D11,101.922991,-63.438813,180.0,top
D12,101.922991,-46.438813,180.0,top
D13,119.922991,-82.138813,180.0,top
D14,119.922991,-65.138813,180.0,top
D15,119.922991,-48.138813,180.0,top
D16,114.619137,-101.760216,170.0,top
D17,135.174552,-108.241314,155.0,top
D2,44.614001,-78.676626,188.0,top
D3,42.248058,-61.842068,188.0,top
D4,64.749588,-81.736937,184.0,top
D5,63.563728,-64.778348,184.0,top
D6,62.377867,-47.819759,184.0,top
D7,83.922991,-76.188813,180.0,top
D8,83.922991,-59.188813,180.0,top
D9,83.922991,-42.188813,180.0,top
LED1,143.922991,-98.338813,180.0,top
LED2,137.922991,-98.338813,180.0,top
LED3,131.922991,-98.338813,180.0,top
PWR1,137.922991,-63.338813,90.0,top
R1,140.922991,-103.338813,270.0,top
R2,137.922991,-103.338813,270.0,top
R3,134.922991,-103.338813,270.0,top
SW1,126.922991,-98.338813,90.0,top
